coin,action,price,balance,profit
dogecoin,sell,0.19964385032653809,0.07,-0.0
dogecoin,buy,0.19964385032653809,0.06,0
dogecoin,sell,0.20184306800365448,0.06,0.0
dogecoin,buy,0.20184306800365448,0.06,0
dogecoin,sell,0.2031007707118988,0.06,0.0
dogecoin,buy,0.2031007707118988,0.05,0
dogecoin,buy,0.2030314803123474,0.05,0
dogecoin,sell,0.19913645088672638,0.05,-0.0
dogecoin,sell,0.19913645088672638,0.05,-0.0
dogecoin,buy,0.19913645088672638,0.04,0
dogecoin,sell,0.19614870846271515,0.04,-0.0
shiba-inu,buy,1.2627459000214003e-05,0.04,0
shiba-inu,buy,1.2670917385548819e-05,0.03,0
shiba-inu,sell,1.2932028766954318e-05,0.03,0.0
shiba-inu,sell,1.2932028766954318e-05,0.03,0.0
shiba-inu,buy,1.2932028766954318e-05,0.03,0
shiba-inu,sell,1.3115979527356103e-05,0.03,0.0
shiba-inu,buy,1.3115979527356103e-05,0.03,0
shiba-inu,buy,1.3111205589666497e-05,0.02,0
shiba-inu,buy,1.3114588909957092e-05,0.02,0
shiba-inu,buy,1.3102659067953937e-05,0.02,0
shiba-inu,sell,1.3040796147834044e-05,0.02,-0.0
shiba-inu,sell,1.3040796147834044e-05,0.02,-0.0
shiba-inu,sell,1.3040796147834044e-05,0.02,-0.0
shiba-inu,sell,1.3040796147834044e-05,0.02,-0.0
shiba-inu,buy,1.3040796147834044e-05,0.02,0
shiba-inu,sell,1.2988885828235652e-05,0.02,-0.0
shiba-inu,buy,1.2988885828235652e-05,0.02,0
shiba-inu,buy,1.2975902791367844e-05,0.01,0
shiba-inu,sell,1.2885430805908982e-05,0.01,-0.0
shiba-inu,sell,1.2885430805908982e-05,0.01,-0.0
shiba-inu,buy,1.2885430805908982e-05,0.01,0
shiba-inu,buy,1.290562613576185e-05,0.01,0
shiba-inu,buy,1.2944195077579934e-05,0.01,0
shiba-inu,sell,1.2904053619422484e-05,0.01,-0.0
shiba-inu,buy,1.2904053619422484e-05,0.01,0
shiba-inu,sell,1.301363136008149e-05,0.01,0.0
shiba-inu,sell,1.301363136008149e-05,0.01,0.0
shiba-inu,sell,1.301363136008149e-05,0.01,0.0
shiba-inu,buy,1.301363136008149e-05,0.01,0
shiba-inu,buy,1.2986923138669226e-05,0.01,0
shiba-inu,sell,1.3249665244075004e-05,0.01,0.0
